time,kind,direction,price,meta
2026-01-13 02:00:00+00:00,BOS,1,0.57806,{'from': 0.5769}
2026-01-13 16:00:00+00:00,CTS,1,0.57351,{'from': 0.57112}
2026-01-14 01:00:00+00:00,BOS,-1,0.57306,{'from': 0.57351}
2026-01-14 07:00:00+00:00,CTS,-1,0.5751,{'from': 0.57806}
2026-01-14 16:00:00+00:00,BOS,1,0.5756,{'from': 0.5751}
2026-01-15 03:00:00+00:00,BOS,-1,0.57314,{'from': 0.57369}
2026-01-15 10:00:00+00:00,CTS,-1,0.57524,{'from': 0.5756}
2026-01-15 14:00:00+00:00,BOS,-1,0.57255,{'from': 0.57314}
2026-01-16 11:00:00+00:00,BOS,1,0.57674,{'from': 0.57524}
2026-01-16 15:00:00+00:00,CTS,1,0.5742,{'from': 0.57255}
