time,kind,direction,price,meta
2025-12-05 14:00:00+00:00,CTS,1,0.5787,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
2025-12-08 01:00:00+00:00,CTS,1,0.57914,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
2025-12-08 13:00:00+00:00,CTS,1,0.57927,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
2025-12-09 09:00:00+00:00,CTS,1,0.57947,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
2025-12-09 15:00:00+00:00,CTS,1,0.5795,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
2025-12-10 19:00:00+00:00,CTS,1,0.58084,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
2025-12-10 20:00:00+00:00,CTS,1,0.58246,"{'event': 'CTS_UPDATED', 'via': 'one_maru_continuous', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
2025-12-23 10:00:00+00:00,CTS,1,0.58412,"{'event': 'CTS_ESTABLISHED', 'via': 'one_maru_continuous', 'anchor_idx': 634, 'pattern_name': 'one_maru_continuous', 'confirmed_at': 636, 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
2025-12-19 13:00:00+00:00,BOS,1,0.5736,"{'event': 'BOS_CONFIRMED', 'source': 'pullback_extreme', 'confirmed_at': 636, 'pb_start': 439, 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
2025-12-23 11:00:00+00:00,CTS,1,0.58415,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
2025-12-23 12:00:00+00:00,CTS,1,0.58422,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
2025-12-23 13:00:00+00:00,CTS,1,0.58434,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
2025-12-24 02:00:00+00:00,CTS,1,0.58534,"{'event': 'CTS_ESTABLISHED', 'via': 'one_maru_opposite', 'anchor_idx': 651, 'pattern_name': 'one_maru_opposite', 'confirmed_at': 652, 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1}"
2025-12-23 14:00:00+00:00,BOS,1,0.58198,"{'event': 'BOS_CONFIRMED', 'source': 'pullback_extreme', 'confirmed_at': 652, 'pb_start': 640, 'cycle_id': 2, 'structure_id': 0, 'struct_direction': 1}"
2025-12-29 05:00:00+00:00,CTS,-1,0.58195,"{'event': 'CTS_ESTABLISHED', 'via': 'double_maru', 'anchor_idx': 702, 'pattern_name': 'double_maru', 'confirmed_at': 703, 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
2025-12-26 15:00:00+00:00,BOS,-1,0.58424,"{'event': 'BOS_CONFIRMED', 'source': 'initial_prior_extreme', 'confirmed_at': 703, 'pb_start': None, 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
2025-12-29 06:00:00+00:00,CTS,-1,0.58166,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
2025-12-29 07:00:00+00:00,CTS,-1,0.58156,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
2025-12-29 08:00:00+00:00,CTS,-1,0.58078,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
2025-12-29 09:00:00+00:00,CTS,-1,0.5803,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
2025-12-29 11:00:00+00:00,CTS,-1,0.57989,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
2025-12-29 12:00:00+00:00,CTS,-1,0.57902,"{'event': 'CTS_UPDATED', 'via': 'continuous', 'cycle_id': 0, 'structure_id': 1, 'struct_direction': -1}"
2025-12-31 02:00:00+00:00,CTS,-1,0.57764,"{'event': 'CTS_ESTABLISHED', 'via': 'one_maru_opposite', 'anchor_idx': 747, 'pattern_name': 'one_maru_opposite', 'confirmed_at': 748, 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
2025-12-30 06:00:00+00:00,BOS,-1,0.58196,"{'event': 'BOS_CONFIRMED', 'source': 'pullback_extreme', 'confirmed_at': 748, 'pb_start': 727, 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
2025-12-31 05:00:00+00:00,CTS,-1,0.57703,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
2025-12-31 06:00:00+00:00,CTS,-1,0.57675,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
2025-12-31 07:00:00+00:00,CTS,-1,0.5764,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
2025-12-31 10:00:00+00:00,CTS,-1,0.57602,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
2025-12-31 14:00:00+00:00,CTS,-1,0.57581,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
2025-12-31 15:00:00+00:00,CTS,-1,0.574,"{'event': 'CTS_UPDATED', 'via': 'one_maru_continuous', 'cycle_id': 1, 'structure_id': 1, 'struct_direction': -1}"
2026-01-09 12:00:00+00:00,CTS,-1,0.57228,"{'event': 'CTS_ESTABLISHED', 'via': 'continuous', 'anchor_idx': 897, 'pattern_name': 'continuous', 'confirmed_at': 902, 'cycle_id': 2, 'structure_id': 1, 'struct_direction': -1}"
2026-01-06 08:00:00+00:00,BOS,-1,0.58105,"{'event': 'BOS_CONFIRMED', 'source': 'pullback_extreme', 'confirmed_at': 902, 'pb_start': 810, 'cycle_id': 2, 'structure_id': 1, 'struct_direction': -1}"
2026-01-09 13:00:00+00:00,CTS,-1,0.57159,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 2, 'structure_id': 1, 'struct_direction': -1}"
2026-01-09 15:00:00+00:00,CTS,-1,0.57112,"{'event': 'CTS_UPDATED', 'via': 'replay_raw', 'cycle_id': 2, 'structure_id': 1, 'struct_direction': -1}"
