idx,category,type,price,meta
439,STATE,STATE_CHANGED,,"{'from': 'range', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'pullback_pattern', 'pat': 'one_maru_continuous', 'effective_idx': 439}"
439,RANGE,RANGE_UPDATED,,"{'hi': 0.58246, 'lo': 0.57936, 'structure_id': 0, 'struct_direction': 1}"
440,RANGE,RANGE_UPDATED,,"{'hi': 0.58246, 'lo': 0.57882, 'structure_id': 0, 'struct_direction': 1}"
441,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 441}"
447,RANGE,RANGE_UPDATED,,"{'hi': 0.58267, 'lo': 0.57882, 'structure_id': 0, 'struct_direction': 1}"
447,STRUCTURE,CTS_THRESHOLD_UPDATED,0.58267,"{'prev': 0.58246, 'reason': 'range_sync', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
448,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57882, 'structure_id': 0, 'struct_direction': 1}"
448,STRUCTURE,CTS_THRESHOLD_UPDATED,0.58314,"{'prev': 0.58267, 'reason': 'range_sync', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
474,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57877, 'structure_id': 0, 'struct_direction': 1}"
474,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_expand_pullback_side', 'effective_idx': 474}"
475,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 475}"
484,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57746, 'structure_id': 0, 'struct_direction': 1}"
484,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_expand_pullback_side', 'effective_idx': 484}"
485,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57676, 'structure_id': 0, 'struct_direction': 1}"
486,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57656, 'structure_id': 0, 'struct_direction': 1}"
487,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 487}"
507,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57582, 'structure_id': 0, 'struct_direction': 1}"
507,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_expand_pullback_side', 'effective_idx': 507}"
508,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 508}"
557,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57546, 'structure_id': 0, 'struct_direction': 1}"
557,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_expand_pullback_side', 'effective_idx': 557}"
558,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 558}"
585,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57449, 'structure_id': 0, 'struct_direction': 1}"
585,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_expand_pullback_side', 'effective_idx': 585}"
586,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 586}"
589,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57435, 'structure_id': 0, 'struct_direction': 1}"
589,STATE,STATE_CHANGED,,"{'from': 'pullback_range', 'to': 'pullback', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_expand_pullback_side', 'effective_idx': 589}"
590,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.57412, 'structure_id': 0, 'struct_direction': 1}"
591,RANGE,RANGE_UPDATED,,"{'hi': 0.58314, 'lo': 0.5736, 'structure_id': 0, 'struct_direction': 1}"
592,STATE,STATE_CHANGED,,"{'from': 'pullback', 'to': 'pullback_range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'replay_no_expand_pullback_side', 'effective_idx': 592}"
636,RANGE,RANGE_RESET,,"{'reason': 'range_breakout', 'pat': 'one_maru_continuous', 'structure_id': 0, 'struct_direction': 1}"
636,STRUCTURE,CTS_ESTABLISHED,0.58412,"{'via': 'one_maru_continuous', 'anchor_idx': 634, 'pattern_name': 'one_maru_continuous', 'confirmed_at': 636, 'cycle_id': 1, 'structure_id': 0, 'struct_direction': 1}"
