time,o,h,l,c,volume
2025-11-20 06:00:00+00:00,0.5604,0.56117,0.56029,0.56111,1932
2025-11-20 07:00:00+00:00,0.56108,0.56136,0.56064,0.56068,2083
2025-11-20 08:00:00+00:00,0.56066,0.56122,0.56043,0.56101,2440
2025-11-20 09:00:00+00:00,0.56098,0.56156,0.56083,0.56156,3270
2025-11-20 10:00:00+00:00,0.56157,0.56186,0.56136,0.56174,2069
2025-11-20 11:00:00+00:00,0.56174,0.56188,0.56098,0.56126,1437
2025-11-20 12:00:00+00:00,0.56126,0.56139,0.56092,0.56126,1978
2025-11-20 13:00:00+00:00,0.56126,0.56328,0.56001,0.56261,8956
2025-11-20 14:00:00+00:00,0.56262,0.56389,0.56206,0.56316,6483
2025-11-20 15:00:00+00:00,0.56316,0.5632,0.56118,0.56148,5124
2025-11-20 16:00:00+00:00,0.56146,0.56166,0.5595,0.55962,6142
2025-11-20 17:00:00+00:00,0.55961,0.56014,0.55894,0.55925,7003
2025-11-20 18:00:00+00:00,0.55925,0.5602,0.55894,0.55913,3349
2025-11-20 19:00:00+00:00,0.55913,0.55999,0.55888,0.55998,2916
2025-11-20 20:00:00+00:00,0.56,0.56007,0.55896,0.559,2304
2025-11-20 21:00:00+00:00,0.559,0.55902,0.55828,0.55833,1007
2025-11-20 22:00:00+00:00,0.559,0.55964,0.55808,0.55912,3917
2025-11-20 23:00:00+00:00,0.5591,0.5597,0.55812,0.55904,1330
2025-11-21 00:00:00+00:00,0.55905,0.55949,0.55858,0.55934,2163
2025-11-21 01:00:00+00:00,0.55932,0.55975,0.55902,0.5595,2965
2025-11-21 02:00:00+00:00,0.55951,0.55976,0.55903,0.55917,1896
2025-11-21 03:00:00+00:00,0.55916,0.55955,0.55906,0.55934,1842
2025-11-21 04:00:00+00:00,0.55934,0.55954,0.55906,0.55949,2097
2025-11-21 05:00:00+00:00,0.5595,0.56021,0.55949,0.55963,1942
2025-11-21 06:00:00+00:00,0.55966,0.5604,0.55962,0.56017,2221
2025-11-21 07:00:00+00:00,0.56018,0.56056,0.55958,0.5597,2684
2025-11-21 08:00:00+00:00,0.55971,0.56074,0.55918,0.56046,4399
2025-11-21 09:00:00+00:00,0.56048,0.56052,0.55944,0.55946,3352
2025-11-21 10:00:00+00:00,0.55945,0.55962,0.55856,0.5595,4658
2025-11-21 11:00:00+00:00,0.55951,0.55982,0.55893,0.559,2694
2025-11-21 12:00:00+00:00,0.55899,0.56042,0.55828,0.56016,7103
2025-11-21 13:00:00+00:00,0.56016,0.56074,0.56006,0.56054,3377
2025-11-21 14:00:00+00:00,0.56054,0.56064,0.55914,0.55952,5398
2025-11-21 15:00:00+00:00,0.5595,0.56004,0.55874,0.55942,8301
2025-11-21 16:00:00+00:00,0.55941,0.56084,0.55886,0.56081,5238
2025-11-21 17:00:00+00:00,0.56084,0.56126,0.56042,0.56085,3527
2025-11-21 18:00:00+00:00,0.56086,0.56119,0.56014,0.56074,3114
2025-11-21 19:00:00+00:00,0.56075,0.56154,0.56075,0.56124,1858
2025-11-21 20:00:00+00:00,0.56126,0.56139,0.56092,0.56126,1609
2025-11-21 21:00:00+00:00,0.56126,0.56158,0.56103,0.5613,1717
2025-11-23 22:00:00+00:00,0.56104,0.56128,0.56068,0.56084,530
2025-11-23 23:00:00+00:00,0.56082,0.5615,0.56082,0.56122,1051
2025-11-24 00:00:00+00:00,0.56122,0.56125,0.56054,0.56066,1248
2025-11-24 01:00:00+00:00,0.56067,0.5609,0.56029,0.5607,2007
2025-11-24 02:00:00+00:00,0.56068,0.56144,0.56055,0.56096,2222
2025-11-24 03:00:00+00:00,0.56098,0.56116,0.56059,0.56066,1241
2025-11-24 04:00:00+00:00,0.56063,0.56108,0.56049,0.56056,1136
2025-11-24 05:00:00+00:00,0.56055,0.56096,0.56049,0.56054,1351
2025-11-24 06:00:00+00:00,0.56053,0.56096,0.56008,0.5601,1576
2025-11-24 07:00:00+00:00,0.5601,0.56084,0.55994,0.56041,2445
2025-11-24 08:00:00+00:00,0.56042,0.56142,0.56026,0.5609,3174
2025-11-24 09:00:00+00:00,0.5609,0.5609,0.55955,0.55994,3361
2025-11-24 10:00:00+00:00,0.55992,0.56073,0.55986,0.56065,3044
2025-11-24 11:00:00+00:00,0.56068,0.56116,0.56048,0.56107,2046
2025-11-24 12:00:00+00:00,0.56107,0.56146,0.56058,0.56116,2944
2025-11-24 13:00:00+00:00,0.56117,0.56136,0.56058,0.56082,2443
2025-11-24 14:00:00+00:00,0.56079,0.56094,0.5598,0.5603,4328
2025-11-24 15:00:00+00:00,0.56031,0.56108,0.55988,0.56096,3978
2025-11-24 16:00:00+00:00,0.56094,0.56126,0.5606,0.56064,2208
2025-11-24 17:00:00+00:00,0.56064,0.56105,0.5603,0.56086,2217
2025-11-24 18:00:00+00:00,0.56086,0.56136,0.56086,0.56129,819
2025-11-24 19:00:00+00:00,0.5613,0.56134,0.5608,0.56106,979
2025-11-24 20:00:00+00:00,0.56107,0.56136,0.56096,0.56118,1060
2025-11-24 21:00:00+00:00,0.56115,0.56132,0.56098,0.56111,883
2025-11-24 22:00:00+00:00,0.56111,0.56132,0.56088,0.56112,724
2025-11-24 23:00:00+00:00,0.56112,0.56142,0.56102,0.5612,1148
2025-11-25 00:00:00+00:00,0.56119,0.56119,0.5605,0.56109,1597
2025-11-25 01:00:00+00:00,0.56107,0.56218,0.56107,0.56142,2284
2025-11-25 02:00:00+00:00,0.56143,0.56146,0.56094,0.5614,1712
2025-11-25 03:00:00+00:00,0.5614,0.56148,0.55986,0.56034,1795
2025-11-25 04:00:00+00:00,0.56036,0.56037,0.5598,0.56006,1484
2025-11-25 05:00:00+00:00,0.56006,0.56084,0.55988,0.5604,1856
2025-11-25 06:00:00+00:00,0.56039,0.56048,0.55926,0.55961,1381
2025-11-25 07:00:00+00:00,0.5596,0.5602,0.55958,0.55984,2061
2025-11-25 08:00:00+00:00,0.55984,0.56006,0.55946,0.55964,2353
2025-11-25 09:00:00+00:00,0.55964,0.56087,0.55964,0.56074,1938
2025-11-25 10:00:00+00:00,0.56072,0.561,0.56035,0.56057,2463
2025-11-25 11:00:00+00:00,0.56056,0.56056,0.55914,0.55948,2298
2025-11-25 12:00:00+00:00,0.55946,0.56024,0.55938,0.55999,3322
2025-11-25 13:00:00+00:00,0.56,0.56169,0.55994,0.56072,5211
2025-11-25 14:00:00+00:00,0.56072,0.56098,0.55948,0.5606,5344
2025-11-25 15:00:00+00:00,0.56064,0.56116,0.56016,0.5608,7294
2025-11-25 16:00:00+00:00,0.5608,0.56147,0.5606,0.56078,2891
2025-11-25 17:00:00+00:00,0.56078,0.56287,0.56078,0.56262,4196
2025-11-25 18:00:00+00:00,0.56262,0.56262,0.56212,0.56226,1565
2025-11-25 19:00:00+00:00,0.56226,0.56264,0.56186,0.56249,2013
2025-11-25 20:00:00+00:00,0.56252,0.56263,0.56165,0.5618,1049
2025-11-25 21:00:00+00:00,0.56178,0.56238,0.56174,0.56199,808
2025-11-25 22:00:00+00:00,0.56176,0.56242,0.56158,0.56218,1428
2025-11-25 23:00:00+00:00,0.5622,0.56268,0.56214,0.56248,816
2025-11-26 00:00:00+00:00,0.56248,0.5632,0.56233,0.56276,2800
2025-11-26 01:00:00+00:00,0.56272,0.56824,0.56262,0.56684,10292
2025-11-26 02:00:00+00:00,0.56685,0.5692,0.56666,0.56873,5389
2025-11-26 03:00:00+00:00,0.5687,0.56966,0.56851,0.5691,3505
2025-11-26 04:00:00+00:00,0.56908,0.56924,0.56847,0.56896,2984
2025-11-26 05:00:00+00:00,0.56898,0.56924,0.56873,0.5691,2212
2025-11-26 06:00:00+00:00,0.5691,0.56945,0.56818,0.56836,2499
2025-11-26 07:00:00+00:00,0.56836,0.56874,0.56732,0.5678,3313
2025-11-26 08:00:00+00:00,0.5678,0.56809,0.5669,0.56782,3248
2025-11-26 09:00:00+00:00,0.56783,0.56826,0.5675,0.56762,2752
2025-11-26 10:00:00+00:00,0.56764,0.56781,0.56684,0.56691,2332
2025-11-26 11:00:00+00:00,0.5669,0.5673,0.5666,0.56705,2856
2025-11-26 12:00:00+00:00,0.56703,0.56725,0.56628,0.56713,3563
2025-11-26 13:00:00+00:00,0.56716,0.56832,0.56638,0.56708,6298
2025-11-26 14:00:00+00:00,0.56708,0.56804,0.56668,0.56772,3809
2025-11-26 15:00:00+00:00,0.5677,0.5693,0.56746,0.56892,4547
2025-11-26 16:00:00+00:00,0.56893,0.5694,0.56882,0.56926,3335
2025-11-26 17:00:00+00:00,0.56926,0.56935,0.56896,0.56932,1977
2025-11-26 18:00:00+00:00,0.56932,0.56966,0.56919,0.5696,1695
2025-11-26 19:00:00+00:00,0.5696,0.56974,0.56936,0.5695,1476
2025-11-26 20:00:00+00:00,0.5695,0.56966,0.56923,0.56935,1017
2025-11-26 21:00:00+00:00,0.56934,0.57018,0.56934,0.5699,998
2025-11-26 22:00:00+00:00,0.5701,0.57038,0.5694,0.56988,1068
2025-11-26 23:00:00+00:00,0.5699,0.57064,0.56987,0.57044,989
2025-11-27 00:00:00+00:00,0.57042,0.57125,0.5704,0.57109,1866
2025-11-27 01:00:00+00:00,0.5711,0.57208,0.571,0.57208,2873
2025-11-27 02:00:00+00:00,0.57208,0.5732,0.57196,0.57254,3012
2025-11-27 03:00:00+00:00,0.57254,0.57279,0.5722,0.57276,2467
2025-11-27 04:00:00+00:00,0.57276,0.57312,0.57242,0.57267,1659
2025-11-27 05:00:00+00:00,0.57269,0.57314,0.57249,0.57249,1592
