time,o,h,l,c,volume
2025-11-25 12:00:00+00:00,0.55946,0.55976,0.55939,0.55946,490
2025-11-25 12:15:00+00:00,0.55945,0.55967,0.5594,0.55954,531
2025-11-25 12:30:00+00:00,0.55953,0.56024,0.55938,0.56004,973
2025-11-25 12:45:00+00:00,0.56002,0.5602,0.5597,0.55999,1328
2025-11-25 13:00:00+00:00,0.56,0.56103,0.55994,0.56087,1082
2025-11-25 13:15:00+00:00,0.56088,0.56149,0.56058,0.56071,1281
2025-11-25 13:30:00+00:00,0.56068,0.56169,0.55994,0.5602,1804
2025-11-25 13:45:00+00:00,0.56019,0.56098,0.56019,0.56072,1044
2025-11-25 14:00:00+00:00,0.56072,0.56098,0.56034,0.56036,1067
2025-11-25 14:15:00+00:00,0.56035,0.5604,0.56006,0.5601,1021
2025-11-25 14:30:00+00:00,0.5601,0.56045,0.55953,0.55976,1631
2025-11-25 14:45:00+00:00,0.55975,0.56066,0.55948,0.5606,1625
2025-11-25 15:00:00+00:00,0.56064,0.56088,0.56016,0.56058,2350
2025-11-25 15:15:00+00:00,0.56058,0.56082,0.56034,0.56054,2246
2025-11-25 15:30:00+00:00,0.56054,0.56116,0.5605,0.56066,1292
2025-11-25 15:45:00+00:00,0.56068,0.56086,0.56028,0.5608,1406
2025-11-25 16:00:00+00:00,0.5608,0.56094,0.56062,0.56088,961
2025-11-25 16:15:00+00:00,0.56089,0.56147,0.56084,0.56105,748
2025-11-25 16:30:00+00:00,0.56108,0.5611,0.56075,0.56084,583
2025-11-25 16:45:00+00:00,0.56083,0.56092,0.5606,0.56078,599
2025-11-25 17:00:00+00:00,0.56078,0.56192,0.56078,0.56155,2014
2025-11-25 17:15:00+00:00,0.56154,0.5625,0.56147,0.56206,987
2025-11-25 17:30:00+00:00,0.56208,0.56255,0.56206,0.56248,744
2025-11-25 17:45:00+00:00,0.56247,0.56287,0.56215,0.56262,451
2025-11-25 18:00:00+00:00,0.56262,0.56262,0.56213,0.56239,353
2025-11-25 18:15:00+00:00,0.56236,0.56251,0.56218,0.56232,269
2025-11-25 18:30:00+00:00,0.56234,0.56241,0.56212,0.56236,449
2025-11-25 18:45:00+00:00,0.56237,0.56248,0.56224,0.56226,494
2025-11-25 19:00:00+00:00,0.56226,0.56234,0.56206,0.56226,597
2025-11-25 19:15:00+00:00,0.56226,0.56226,0.56186,0.56192,586
2025-11-25 19:30:00+00:00,0.56192,0.56215,0.56187,0.56214,529
2025-11-25 19:45:00+00:00,0.56212,0.56264,0.56207,0.56249,301
2025-11-25 20:00:00+00:00,0.56252,0.56263,0.56239,0.56248,144
2025-11-25 20:15:00+00:00,0.56247,0.5625,0.56188,0.56188,350
2025-11-25 20:30:00+00:00,0.56186,0.56203,0.56174,0.56179,291
2025-11-25 20:45:00+00:00,0.56177,0.56187,0.56165,0.5618,264
2025-11-25 21:00:00+00:00,0.56178,0.56238,0.56174,0.56207,207
2025-11-25 21:15:00+00:00,0.56205,0.56224,0.56198,0.56218,163
2025-11-25 21:30:00+00:00,0.56219,0.5622,0.56192,0.56196,113
2025-11-25 21:45:00+00:00,0.56195,0.56205,0.56195,0.56199,325
2025-11-25 22:00:00+00:00,0.56176,0.56188,0.56158,0.5618,176
2025-11-25 22:15:00+00:00,0.56177,0.56223,0.56173,0.5621,174
2025-11-25 22:30:00+00:00,0.56209,0.56222,0.56202,0.5622,421
2025-11-25 22:45:00+00:00,0.56216,0.56242,0.56201,0.56218,657
2025-11-25 23:00:00+00:00,0.5622,0.56262,0.56214,0.56258,282
2025-11-25 23:15:00+00:00,0.5626,0.56262,0.56242,0.56255,178
2025-11-25 23:30:00+00:00,0.56252,0.56268,0.56234,0.56234,202
2025-11-25 23:45:00+00:00,0.56235,0.56248,0.56218,0.56248,154
