time,o,h,l,c,volume,body_len,candle_len,upper_wick,lower_wick,direction,mid_price,body_pct,candle_type,pinbar_dir,is_special_maru,is_big_maru_as0,is_big_normal_as0,prior_maru_max_len_as0,is_big_maru_as1,is_big_normal_as1,prior_maru_max_len_as1,is_big_maru_as2,is_big_normal_as2,prior_maru_max_len_as2,pat,pat_dir,pat_status,pat_start_idx,pat_end_idx,pat_confirm_idx,is_range,is_range_confirm_idx,is_range_lag,base_pattern,base_low,base_high,base_min_close_open,base_max_close_open,market_state,range_active,range_hi,range_lo,range_start_idx,range_confirm_idx,breakout_th,pullback_th,range_break_frac,cts_idx,cts_price,cts_event,bos_idx,bos_price,bos_event,cts_cycle_id,cts_threshold,bos_threshold,cycle_stage,cts_phase_debug,reversal_watch_active,reversal_bos_th_frozen,pending_reversal_anchor_idx,pending_reversal_apply_idx,structure_id,struct_direction,last_breakout_pat_apply_idx
2025-12-15 00:00:00+00:00,0.58016,0.58041,0.57978,0.5804,1930,0.00024000000000001798,0.0006300000000000194,9.99999999995449e-06,0.00038000000000004697,1,0.580095,0.38095238095239775,pinbar,0,False,False,False,0.0,False,False,0.0,False,False,0.0,,0,,-1,-1,-1,0,-1,-1,base,0.57978,0.58041,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 01:00:00+00:00,0.58038,0.58088,0.58013,0.58081,3392,0.00043000000000004146,0.0007499999999999174,6.999999999990347e-05,0.00024999999999997247,1,0.580505,0.5733333333334517,normal,0,True,False,False,0.0,False,False,0.0,False,False,0.0,,0,,-1,-1,-1,0,-1,-1,base,0.58013,0.58088,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 02:00:00+00:00,0.58078,0.5808,0.57746,0.5781,5921,0.0026800000000000157,0.0033400000000000096,2.0000000000020002e-05,0.0006399999999999739,-1,0.5791299999999999,0.8023952095808408,maru,0,True,False,False,0.0,False,False,0.0,False,False,0.0,,0,,-1,-1,-1,1,4,2,base,0.57746,0.5808,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 03:00:00+00:00,0.5781,0.57845,0.57676,0.57702,3523,0.0010799999999999699,0.0016899999999999693,0.0003500000000000725,0.00025999999999992696,-1,0.577605,0.6390532544378636,normal,0,True,False,True,0.0033400000000000096,False,False,0.0,False,False,0.0,,0,,-1,-1,-1,1,5,2,base,0.57676,0.57845,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 04:00:00+00:00,0.57702,0.57756,0.57656,0.5775,2363,0.00048000000000003595,0.0010000000000000009,5.999999999994898e-05,0.00046000000000001595,1,0.5770599999999999,0.4800000000000355,normal,0,False,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0,,0,,-1,-1,-1,0,-1,-1,base,0.57656,0.57756,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 05:00:00+00:00,0.57751,0.57822,0.5775,0.57812,2322,0.0006099999999999994,0.0007199999999999429,9.999999999998899e-05,9.99999999995449e-06,1,0.57786,0.8472222222222886,maru,0,True,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,1,8,3,base,0.5775,0.57822,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 06:00:00+00:00,0.57811,0.57854,0.5777,0.5785,2705,0.00039000000000000146,0.0008400000000000629,4.0000000000040004e-05,0.00041000000000002146,1,0.57812,0.4642857142856812,normal,0,False,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,1,8,2,base,0.5777,0.57854,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 07:00:00+00:00,0.5785,0.5788,0.57828,0.5783,3121,0.00019999999999997797,0.0005199999999999649,0.00029999999999996696,2.0000000000020002e-05,-1,0.57854,0.3846153846153682,pinbar,0,False,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,1,9,2,base,0.57828,0.5788,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 08:00:00+00:00,0.57832,0.57868,0.57785,0.57792,3301,0.00039999999999995595,0.0008299999999999974,0.00036000000000002697,7.00000000000145e-05,-1,0.578265,0.4819277108433219,normal,0,False,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,1,10,2,base,0.57785,0.57868,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 09:00:00+00:00,0.57792,0.57868,0.57784,0.57862,2570,0.0007000000000000339,0.0008399999999999519,5.999999999994898e-05,7.999999999996898e-05,1,0.57826,0.8333333333334214,maru,0,True,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,0,-1,-1,base,0.57784,0.57868,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 10:00:00+00:00,0.57858,0.57869,0.57803,0.57856,2770,2.0000000000020002e-05,0.0006599999999999939,0.0001100000000000545,0.0005299999999999194,-1,0.57836,0.030303030303060887,pinbar,0,False,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,0,-1,-1,base,0.57803,0.57869,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 11:00:00+00:00,0.57856,0.57955,0.57851,0.57932,1877,0.0007599999999999829,0.001040000000000041,0.0002300000000000635,4.999999999999449e-05,1,0.5790299999999999,0.7307692307691857,maru,0,True,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,1,13,2,base,0.57851,0.57955,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 12:00:00+00:00,0.5793,0.57975,0.57929,0.57942,1881,0.00012000000000000899,0.00046000000000001595,0.00032999999999994145,1.0000000000065512e-05,1,0.57952,0.2608695652174018,pinbar,0,False,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,1,14,2,base,0.57929,0.57975,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 13:00:00+00:00,0.57943,0.5799,0.57917,0.57917,2316,0.000260000000000038,0.0007300000000000084,0.00046999999999997044,0.0,-1,0.5795349999999999,0.3561643835616918,pinbar,-1,False,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,1,16,3,base,0.57917,0.5799,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 14:00:00+00:00,0.57914,0.58028,0.57892,0.57971,4252,0.0005699999999999594,0.0013600000000000279,0.0005700000000000705,0.00021999999999999797,1,0.5796,0.4191176470587851,normal,0,False,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,1,16,2,base,0.57892,0.58028,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 15:00:00+00:00,0.5797,0.5803,0.5792,0.58022,6102,0.0005199999999999649,0.0010999999999999899,8.000000000008001e-05,0.0004999999999999449,1,0.57975,0.4727272727272452,normal,0,False,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,one_maru_continuous,1,CONFIRMED,11,12,15,0,-1,-1,base,0.5792,0.5803,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 16:00:00+00:00,0.58023,0.5803,0.579,0.57936,4239,0.0008700000000000374,0.0013000000000000789,7.00000000000145e-05,0.00036000000000002697,-1,0.57965,0.6692307692307574,maru,0,True,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,0,-1,-1,base,0.579,0.5803,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
2025-12-15 17:00:00+00:00,0.57935,0.57948,0.57866,0.57872,3399,0.0006300000000000194,0.0008200000000000429,0.00012999999999996348,6.0000000000060005e-05,-1,0.57907,0.7682926829268127,maru,0,True,False,False,0.0033400000000000096,False,False,0.0033400000000000096,False,False,0.0033400000000000096,,0,,-1,-1,-1,1,19,2,base,0.57866,0.57948,,,,0,-1.0,-1.0,-1,-1,,,,-1,,,-1,,,0,,,,,0,,-1,-1,-1,0,-1
